x,y
0,0.31953050164417485
1,2.4106984647937586
2,4.501866427943342
3,6.593034391092925
4,8.68420235424251
5,10.775370317392094
6,12.866538280541677
7,14.957706243691261
8,17.048874206840843
9,19.140042169990426
10,21.23121013314001
11,23.322378096289594
12,25.413546059439177
13,27.50471402258876
14,29.595881985738345
15,31.68704994888793
16,33.77821791203751
17,35.8693858751871
18,37.96055383833668
19,40.05172180148626
20,42.14288976463585
21,44.234057727785434
22,46.325225690935014
23,48.416393654084594
24,50.50756161723418
25,52.59872958038377
26,54.68989754353335
27,56.78106550668293
28,58.872233469832516
29,60.9634014329821
30,63.05456939613168
31,65.14573735928127
32,67.23690532243086
33,69.32807328558044
34,71.41924124873003
35,73.5104092118796
36,75.60157717502919
37,77.69274513817878
38,79.78391310132835
39,81.87508106447794
40,83.96624902762753
41,86.05741699077711
42,88.1485849539267
43,90.23975291707627
44,92.33092088022586
45,94.42208884337545
46,96.51325680652502
47,98.60442476967461
48,100.6955927328242
49,102.78676069597378
